,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CRAF,Unkn,HC1,26.0615538519077,NaN
,A02,FAM,CRAF,Unkn,NC1,27.0482076860634,NaN
,A03,FAM,CRAF,Unkn,SC1,25.5981426876276,NaN
,A04,FAM,CRAF,Unkn,HT1,28.4311442169176,NaN
,A05,FAM,CRAF,Unkn,NT1,29.0181120299978,NaN
,A06,FAM,CRAF,Unkn,ST1,28.1651505740014,NaN
,A07,FAM,CRAF,NTC,NTC,NaN,NaN
,B01,FAM,CRAF,Unkn,HC2,26.0059971640792,NaN
,B02,FAM,CRAF,Unkn,NC2,25.707492405481,NaN
,B03,FAM,CRAF,Unkn,SC2,24.073884465579,NaN
,B04,FAM,CRAF,Unkn,HT2,27.0886440204522,NaN
,B05,FAM,CRAF,Unkn,NT2,26.0556974310631,NaN
,B06,FAM,CRAF,Unkn,ST2,27.9835867162314,NaN
,B07,FAM,CRAF,NTC,NTC,NaN,NaN
,C01,FAM,CRAF,Unkn,HC3,25.3714278274483,NaN
,C02,FAM,CRAF,Unkn,NC3,25.7801835359478,NaN
,C03,FAM,CRAF,Unkn,SC3,24.6108373200511,NaN
,C04,FAM,CRAF,Unkn,HT3,28.2824449479874,NaN
,C05,FAM,CRAF,Unkn,NT3,24.0064114576603,NaN
,C06,FAM,CRAF,Unkn,ST3,27.5528961833064,NaN
,C07,FAM,CRAF,NTC,NTC,NaN,NaN
,D01,FAM,CRAF,Unkn,HC4,26.0919766195482,NaN
,D02,FAM,CRAF,Unkn,NC4,25.3788336338486,NaN
,D03,FAM,CRAF,Unkn,SC4,23.2246458010789,NaN
,D04,FAM,CRAF,Unkn,HT4,27.7744988773531,NaN
,D05,FAM,CRAF,Unkn,NT4,27.5499909409952,NaN
,D06,FAM,CRAF,Unkn,ST4,27.7199397538595,NaN
,D07,FAM,CRAF,NTC,NTC,NaN,NaN
,E01,FAM,CRAF,Unkn,HC5,26.1504650582115,NaN
,E02,FAM,CRAF,Unkn,NC5,25.8552331577208,NaN
,E03,FAM,CRAF,Unkn,SC5,25.7893481950455,NaN
,E04,FAM,CRAF,Unkn,HT5,27.1440067756872,NaN
,E05,FAM,CRAF,Unkn,NT5,27.343797882288,NaN
,E06,FAM,CRAF,Unkn,ST5,28.2673788995492,NaN
,F01,FAM,CRAF,Unkn,HC6,30.397336486138,NaN
,F02,FAM,CRAF,Unkn,NC6,25.5337042490921,NaN
,F03,FAM,CRAF,Unkn,SC6,26.0441079373884,NaN
,F04,FAM,CRAF,Unkn,HT6,25.9534928395763,NaN
,F05,FAM,CRAF,Unkn,NT6,29.0354647082814,NaN
,F06,FAM,CRAF,Unkn,ST6,28.1781748982305,NaN
,G01,FAM,CRAF,Unkn,HC7,25.5157321141136,NaN
,G02,FAM,CRAF,Unkn,NC7,25.4111892406417,NaN
,G03,FAM,CRAF,Unkn,SC7,25.8775501490799,NaN
,G04,FAM,CRAF,Unkn,HT7,27.4968634806818,NaN
,G05,FAM,CRAF,Unkn,NT7,26.7190939032364,NaN
,G06,FAM,CRAF,Unkn,ST7,27.440045474487,NaN
,H01,FAM,CRAF,Unkn,HC8,25.350429998901,NaN
,H02,FAM,CRAF,Unkn,NC8,25.7672811711276,NaN
,H03,FAM,CRAF,Unkn,SC8,25.2729896822961,NaN
,H04,FAM,CRAF,Unkn,HT8,26.6517053619306,NaN
,H05,FAM,CRAF,Unkn,NT8,30.0812016292347,NaN
,H06,FAM,CRAF,Unkn,ST8,26.7088011951426,NaN
