,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CRAF,Unkn,HC1,25.4234777015946,NaN
,A02,FAM,CRAF,Unkn,NC1,27.6041066663359,NaN
,A03,FAM,CRAF,Unkn,SC1,26.4480998915495,NaN
,A04,FAM,CRAF,Unkn,HT1,28.1343552103847,NaN
,A05,FAM,CRAF,Unkn,NT1,22.6785560225763,NaN
,A06,FAM,CRAF,Unkn,ST1,26.9792628624694,NaN
,A07,FAM,CRAF,NTC,NTC,31.0394620020123,NaN
,B01,FAM,CRAF,Unkn,HC2,25.6757355241803,NaN
,B02,FAM,CRAF,Unkn,NC2,26.0058206504454,NaN
,B03,FAM,CRAF,Unkn,SC2,25.9359612235368,NaN
,B04,FAM,CRAF,Unkn,HT2,26.1724649606611,NaN
,B05,FAM,CRAF,Unkn,NT2,28.5002662133713,NaN
,B06,FAM,CRAF,Unkn,ST2,28.633731418743,NaN
,B07,FAM,CRAF,NTC,NTC,NaN,NaN
,C01,FAM,CRAF,Unkn,HC3,25.7110109927557,NaN
,C02,FAM,CRAF,Unkn,NC3,25.7365582529897,NaN
,C03,FAM,CRAF,Unkn,SC3,25.5305613395437,NaN
,C04,FAM,CRAF,Unkn,HT3,27.5579620178066,NaN
,C05,FAM,CRAF,Unkn,NT3,26.1857884001202,NaN
,C06,FAM,CRAF,Unkn,ST3,29.0596358151365,NaN
,C07,FAM,CRAF,NTC,NTC,NaN,NaN
,D01,FAM,CRAF,Unkn,HC4,25.5088155721238,NaN
,D02,FAM,CRAF,Unkn,NC4,26.3747676400902,NaN
,D03,FAM,CRAF,Unkn,SC4,26.0197211609674,NaN
,D04,FAM,CRAF,Unkn,HT4,27.0908935067805,NaN
,D05,FAM,CRAF,Unkn,NT4,28.9526427039545,NaN
,D06,FAM,CRAF,Unkn,ST4,28.039399882251,NaN
,D07,FAM,CRAF,NTC,NTC,37.0799178441385,NaN
,E01,FAM,CRAF,Unkn,HC5,25.9733529884333,NaN
,E02,FAM,CRAF,Unkn,NC5,25.8940568273456,NaN
,E03,FAM,CRAF,Unkn,SC5,25.1398128910157,NaN
,E04,FAM,CRAF,Unkn,HT5,26.134877904969,NaN
,E05,FAM,CRAF,Unkn,NT5,27.9212140262436,NaN
,E06,FAM,CRAF,Unkn,ST5,30.0710308305275,NaN
,F01,FAM,CRAF,Unkn,HC6,31.289265510164,NaN
,F02,FAM,CRAF,Unkn,NC6,25.9500570306262,NaN
,F03,FAM,CRAF,Unkn,SC6,24.4860899616706,NaN
,F04,FAM,CRAF,Unkn,HT6,27.8532466854102,NaN
,F05,FAM,CRAF,Unkn,NT6,29.0312967391605,NaN
,F06,FAM,CRAF,Unkn,ST6,28.9210360705053,NaN
,G01,FAM,CRAF,Unkn,HC7,24.3440854442109,NaN
,G02,FAM,CRAF,Unkn,NC7,25.9093695470902,NaN
,G03,FAM,CRAF,Unkn,SC7,26.0342060639072,NaN
,G04,FAM,CRAF,Unkn,HT7,26.7633128943241,NaN
,G05,FAM,CRAF,Unkn,NT7,25.2379564448448,NaN
,G06,FAM,CRAF,Unkn,ST7,27.5851908853269,NaN
,H01,FAM,CRAF,Unkn,HC8,24.1032020471744,NaN
,H02,FAM,CRAF,Unkn,NC8,26.4141315195767,NaN
,H03,FAM,CRAF,Unkn,SC8,25.9842388368182,NaN
,H04,FAM,CRAF,Unkn,HT8,27.122798921639,NaN
,H05,FAM,CRAF,Unkn,NT8,27.562599008066,NaN
,H06,FAM,CRAF,Unkn,ST8,27.8734639746101,NaN
